_id,year,county_id,county_name,type,nj_data_source,killed_total,killed_per_100milvmt,killed_per_capita,si_total,si_per_100milvmt,si_per_capita,ksi_total,ksi_per_100milvmt,ksi_per_capita,ksi_total_5yravg
"50","2007","42091","Montgomery","Motorized","N/A","46","0.6","5.9","174","2.5","22.4","220","3.1","28.3","null"
"51","2007","42091","Montgomery","Non-Motorized","N/A","11","0.2","1.4","23","0.3","3","34","0.5","4.4","null"
"52","2007","42101","Philadelphia","All","N/A","125","2.1","8.2","330","5.5","21.6","455","7.6","29.8","null"
"53","2007","42101","Philadelphia","Motorized","N/A","85","1.4","5.6","221","3.7","14.5","306","5.1","20.1","null"
"54","2007","42101","Philadelphia","Non-Motorized","N/A","40","0.7","2.6","109","1.8","7.1","149","2.5","9.7","null"
"55","2008","42017","Bucks","All","N/A","54","1.1","8.7","161","3.2","25.8","215","4.3","34.5","null"
"56","2008","42017","Bucks","Motorized","N/A","44","0.9","7.1","149","3","23.9","193","3.9","31","null"
"57","2008","42017","Bucks","Non-Motorized","N/A","10","0.2","1.6","12","0.2","1.9","22","0.4","3.5","null"
"58","2008","34005","Burlington","All","Official","47","1.1","10.6","116","2.6","26.1","163","3.7","36.7","null"
"59","2008","34005","Burlington","Motorized","Official","30","0.7","6.8","97","2.2","21.8","127","2.9","28.6","null"
"60","2008","34005","Burlington","Non-Motorized","Official","17","0.4","3.8","19","0.4","4.3","36","0.8","8.1","null"
"61","2008","34007","Camden","All","Official","46","1.2","8.9","125","3.1","24.2","171","4.3","33.1","null"
"62","2008","34007","Camden","Motorized","Official","32","0.8","6.2","93","2.3","18","125","3.1","24.2","null"
"63","2008","34007","Camden","Non-Motorized","Official","14","0.4","2.7","32","0.8","6.2","46","1.2","8.9","null"
"64","2008","42029","Chester","All","N/A","40","0.9","8.1","151","3.4","30.6","191","4.3","38.7","null"
"65","2008","42029","Chester","Motorized","N/A","37","0.8","7.5","143","3.2","29","180","4","36.5","null"
"66","2008","42029","Chester","Non-Motorized","N/A","3","0.1","0.6","8","0.2","1.6","11","0.3","2.2","null"
"67","2008","42045","Delaware","All","N/A","21","0.6","3.7","103","2.7","18.5","124","3.3","22.2","null"
"68","2008","42045","Delaware","Motorized","N/A","18","0.5","3.2","90","2.4","16.2","108","2.9","19.4","null"
"69","2008","42045","Delaware","Non-Motorized","N/A","3","0.1","0.5","13","0.3","2.3","16","0.4","2.8","null"
"70","2008","34015","Gloucester","All","Official","31","1.2","10.7","94","3.5","32.7","125","4.7","43.4","null"
"71","2008","34015","Gloucester","Motorized","Official","26","1","9","80","3","27.8","106","4","36.8","null"
"72","2008","34015","Gloucester","Non-Motorized","Official","5","0.2","1.7","14","0.5","4.9","19","0.7","6.6","null"
"73","2008","34021","Mercer","All","Official","20","0.5","5.5","74","2.2","20.3","94","2.7","25.8","null"
"74","2008","34021","Mercer","Motorized","Official","15","0.4","4.1","62","1.8","17","77","2.2","21.1","null"
"75","2008","34021","Mercer","Non-Motorized","Official","5","0.1","1.4","12","0.4","3.3","17","0.5","4.7","null"
"76","2008","42091","Montgomery","All","N/A","45","0.7","5.7","182","2.6","23.3","227","3.3","29","null"
"77","2008","42091","Montgomery","Motorized","N/A","40","0.6","5.1","159","2.3","20.4","199","2.9","25.5","null"
"78","2008","42091","Montgomery","Non-Motorized","N/A","5","0.1","0.6","23","0.3","2.9","28","0.4","3.5","null"
"79","2008","42101","Philadelphia","All","N/A","92","1.6","6","252","4.2","16.3","344","5.8","22.3","null"
"80","2008","42101","Philadelphia","Motorized","N/A","57","1","3.7","162","2.7","10.5","219","3.7","14.2","null"
"81","2008","42101","Philadelphia","Non-Motorized","N/A","35","0.6","2.3","90","1.5","5.8","125","2.1","8.1","null"
"82","2009","42017","Bucks","All","N/A","64","1.3","10.2","138","2.9","22","202","4.2","32.2","null"
"83","2009","42017","Bucks","Motorized","N/A","49","1","7.8","114","2.4","18.2","163","3.4","26","null"
"84","2009","42017","Bucks","Non-Motorized","N/A","15","0.3","2.4","24","0.5","3.8","39","0.8","6.2","null"
"85","2009","34005","Burlington","All","Official","48","1.1","10.8","108","2.4","24.3","156","3.5","35.1","null"
"86","2009","34005","Burlington","Motorized","Official","41","0.9","9.2","91","2","20.5","132","2.9","29.7","null"
"87","2009","34005","Burlington","Non-Motorized","Official","7","0.2","1.6","17","0.4","3.8","24","0.6","5.4","null"
"88","2009","34007","Camden","All","Official","39","1","7.5","114","2.9","22.1","153","3.9","29.6","null"
"89","2009","34007","Camden","Motorized","Official","29","0.7","5.6","87","2.2","16.9","116","2.9","22.5","null"
"90","2009","34007","Camden","Non-Motorized","Official","10","0.3","1.9","27","0.7","5.2","37","1","7.1","null"
"91","2009","42029","Chester","All","N/A","31","0.7","6.2","111","2.6","22.3","142","3.3","28.5","null"
"92","2009","42029","Chester","Motorized","N/A","29","0.7","5.8","100","2.3","20.1","129","3","25.9","null"
"93","2009","42029","Chester","Non-Motorized","N/A","2","0","0.4","11","0.3","2.2","13","0.3","2.6","null"
"94","2009","42045","Delaware","All","N/A","20","0.6","3.6","105","3","18.8","125","3.6","22.4","null"
"95","2009","42045","Delaware","Motorized","N/A","14","0.4","2.5","80","2.3","14.3","94","2.7","16.8","null"
"96","2009","42045","Delaware","Non-Motorized","N/A","6","0.2","1.1","25","0.7","4.5","31","0.9","5.6","null"
"97","2009","34015","Gloucester","All","Official","22","0.8","7.6","98","3.6","33.9","120","4.4","41.5","null"
"98","2009","34015","Gloucester","Motorized","Official","17","0.6","5.9","89","3.3","30.8","106","3.9","36.7","null"
"99","2009","34015","Gloucester","Non-Motorized","Official","5","0.2","1.7","9","0.3","3.1","14","0.5","4.8","null"
"100","2009","34021","Mercer","All","Official","23","0.7","6.3","73","2.2","19.9","96","2.9","26.2","null"
"101","2009","34021","Mercer","Motorized","Official","14","0.4","3.8","67","2","18.3","81","2.4","22.1","null"
"102","2009","34021","Mercer","Non-Motorized","Official","9","0.3","2.5","6","0.2","1.6","15","0.5","4.1","null"
"103","2009","42091","Montgomery","All","N/A","41","0.6","5.2","155","2.3","19.8","196","2.9","25","null"
"104","2009","42091","Montgomery","Motorized","N/A","33","0.5","4.2","134","2","17.1","167","2.5","21.3","null"
"105","2009","42091","Montgomery","Non-Motorized","N/A","8","0.1","1","21","0.3","2.7","29","0.4","3.7","null"
"106","2009","42101","Philadelphia","All","N/A","95","1.7","6.1","295","5.2","19","390","6.9","25.1","null"
"107","2009","42101","Philadelphia","Motorized","N/A","61","1.1","3.9","213","3.8","13.7","274","4.9","17.6","null"
